what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371691987083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692019044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692109474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692403290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692404232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692603266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371692603920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371693467212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371693468298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697041150
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371697049324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697060530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697066032
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697066278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697066408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371697098872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371697112719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697114800
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371697120843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697129571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697132719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697133113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697144289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697151090
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371697151426
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697155046
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371697166519
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371697167867
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371697172137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697186948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697666289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371697667287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698565823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371698569241
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371698569271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698573968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698576143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698577033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698577677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698577705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698584355
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371698587250
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371698614845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698626545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698787539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698793577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698843282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371698846936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371703899961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371703910687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371704071600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371704075879
